id,gender,anon,total_matches,prem_rct
1,1,0,3.802991501,0
2,0,1,11.72481755,1
3,1,1,3.661720854,0
4,1,1,14.12679614,1
5,1,0,3.865095996,0
6,0,0,12.47034434,0
7,1,0,0.59644583,0
8,1,0,3.48290257,0
9,0,1,13.14072522,1
10,1,0,3.701568058,0
11,1,1,27.77645867,1
12,0,1,16.98093253,1
13,1,1,15.4742917,1
14,1,1,12.88260617,1
15,1,0,5.078340125,0
16,1,0,4.045656902,0
17,0,0,10.46877725,0
18,1,1,6.015516154,1
19,1,1,42.7829856,1
20,1,1,12.99852179,1
21,1,0,3.836488369,0
22,0,1,12.09481408,1
23,0,0,10.97362018,0
24,1,1,7.222084589,1
25,0,1,10.61824962,1
26,0,0,12.33419598,0
27,1,0,1.3844897,0
28,1,1,23.45500155,1
29,1,0,2.556227201,0
30,1,0,2.636772729,0
31,1,1,13.46997274,1
32,1,0,2.206178198,0
33,1,0,4.080739703,0
34,0,0,12.98733366,0
35,1,1,19.40686701,1
36,0,1,10.58559314,1
37,0,1,16.45625686,1
38,0,0,14.02535822,0
39,0,0,11.77032875,0
40,1,0,3.301011269,0
41,1,1,13.04738392,1
42,0,1,8.935086529,1
43,1,1,22.48357638,1
44,1,0,2.84063761,0
45,1,1,14.65747309,1
46,1,0,2.521828623,0
47,1,0,4.18170524,0
48,1,0,2.088657073,0
49,1,0,3.708305298,0
50,1,1,5.347336063,1
51,0,0,12.19198557,0
52,0,0,11.32668416,0
53,0,0,13.48798686,0
54,1,1,17.32568503,1
55,0,0,11.36661784,0
56,1,0,2.534870318,0
57,1,1,21.30452197,1
58,0,0,16.79266042,0
59,1,0,2.006568863,0
60,0,0,14.11760238,0
61,0,1,15.88369104,1
62,1,0,4.261307058,0
63,1,0,1.322411649,0
64,0,1,10.88010382,1
65,1,0,5.298094684,0
66,1,0,3.141964155,0
67,0,1,14.46771382,1
68,1,0,1.049574207,0
69,0,0,20.31786315,0
70,1,0,3.32036491,0
71,0,1,11.04850149,1
72,1,0,3.963088407,0
73,1,0,3.624112327,0
74,1,0,2.594625171,0
75,1,1,45.15134768,1
76,0,1,14.1461981,1
77,0,1,13.09362689,1
78,0,0,13.44173214,0
79,1,0,1.206573771,0
80,0,0,12.21311794,0
81,0,0,12.49182182,0
82,0,1,14.30674857,1
83,1,1,14.7604864,1
84,1,0,2.188980549,0
85,1,0,5.220433422,0
86,1,1,29.70341453,1
87,0,0,16.47925479,0
88,1,0,3.42619487,0
89,1,0,4.845496668,0
90,0,0,15.8216178,0
91,1,1,6.788501204,1
92,0,1,8.974499915,1
93,0,0,12.3564888,0
94,1,0,2.588011051,0
95,1,1,31.53009957,1
96,1,0,1.292582994,0
97,0,1,14.02842406,1
98,1,1,5.445822212,1
99,1,1,27.00181145,1
100,0,1,9.115282755,1
101,1,1,11.66855582,1
102,0,1,11.07629805,1
103,0,0,15.10730175,0
104,1,0,2.134668857,0
105,1,1,23.89337476,1
106,0,0,11.42812811,0
107,1,0,9.107225418,1
108,0,1,8.755168098,1
109,1,0,2.035196024,0
110,1,0,4.843239023,0
111,1,0,4.585848406,0
112,0,1,14.43748095,1
113,1,0,2.962757704,0
114,1,0,3.806131625,0
115,0,0,8.73989243,0
116,1,0,2.983901058,0
117,1,1,5.817729682,1
118,0,1,12.16684428,1
119,1,1,49.22608593,1
120,1,1,40.00308445,1
121,0,1,13.73849237,1
122,0,1,9.855956581,1
123,0,1,9.363389189,1
124,1,0,2.861957767,0
125,1,0,0.879035108,0
126,0,0,16.11672156,0
127,0,0,10.54466887,0
128,1,1,5.957447765,1
129,1,0,1.770554933,0
130,1,0,3.396447973,0
131,1,1,11.69436653,1
132,0,0,16.14550866,0
133,0,1,11.36493214,1
134,0,0,11.05058001,0
135,1,1,22.88116024,1
136,1,1,31.20697939,1
137,1,1,51.55316926,1
138,1,1,9.466496429,1
139,1,1,42.26290315,1
140,0,0,10.37059085,0
141,1,1,18.81100774,1
142,1,0,5.665425798,0
143,1,0,2.166532279,0
144,0,0,13.63460495,0
145,0,0,16.88184659,0
146,0,1,13.19139188,1
147,1,1,22.10150649,1
148,0,0,11.21355555,0
149,1,0,3.317643347,0
150,1,1,21.49295993,1
151,1,0,2.225323425,0
152,0,1,12.90122767,1
153,1,1,35.59287425,1
154,1,0,4.260575107,0
155,1,0,2.730595414,0
156,1,1,18.13969375,1
157,0,0,11.38549834,0
158,0,1,15.22926201,1
159,1,0,6.065983847,0
160,1,0,2.7960578,0
161,1,0,2.431809684,0
162,0,0,13.27679346,0
163,0,0,10.7481953,0
164,0,1,15.61769501,1
